,IPC,AC,ALFAA,ALPEKA,ALSEA,AMXL,ASURB,BIMBOA,BOLSAA,CEMEXCPO,ELEKTRA,GAPB,GCARSOA1,GENTERA,GFINBURO,GFNORTEO,GMEXICOB,GRUMAB,IENOVA,KIMBERA,KOFUBL,LALAB,OMAB,ORBIA,PINFRA,TLEVISACPO,VOLARA,WALMEX
2019-12-06,41938.691406,99.669708,15.246178,20.744135,51.77,14.413198999999999,327.070007,32.566241999999995,39.389072,6.668821,1376.496582,191.369995,65.13606999999999,18.4,22.620001000000002,99.879997,48.816177,177.93576000000002,81.209999,37.147968,110.910004,17.786488000000002,128.570007,39.85302,184.46000700000002,41.029999,19.690001000000002,53.296974
2019-12-09,41951.589844,99.16263599999999,15.196256,20.465023000000002,51.369999,14.284863,327.22000099999997,32.457817,39.734089000000004,6.767472,1371.852783,190.940002,65.69236,18.82,22.469998999999998,100.57,48.395348,178.326324,82.279999,36.424755,112.050003,17.806065,129.940002,39.901695000000004,185.75,41.34,19.639999,53.177563
2019-12-10,42633.429688,99.25039699999999,15.066459,20.764072,52.950001,14.442815,338.140015,32.783085,40.721214,6.767472,1394.932373,199.46000700000002,68.791718,18.98,22.76,103.360001,49.285938,181.812012,83.870003,37.216389,111.040001,17.75712,132.259995,40.174259,185.619995,41.880001,20.08,54.471180000000004
2019-12-11,43195.191406,100.459572,15.495788000000001,20.813913,53.029999,14.600767999999999,342.790009,33.818031,40.759544,6.91545,1386.1130369999998,202.58999599999999,68.86125200000001,19.1,22.58,106.260002,50.245036999999996,186.088547,85.209999,37.206612,112.900002,17.639654,133.25,40.008774,188.050003,43.75,19.860001,54.869213
2019-12-13,44254.429688,101.766273,15.70546,21.192713,52.810001,14.827826000000002,363.549988,33.266059999999996,40.194107,7.14,1382.266479,225.05000299999998,71.056625,19.030001000000002,23.0,110.209999,52.926601,191.282898,88.83000200000001,37.333664,115.269997,16.249626,145.809998,41.069832,196.929993,45.240002000000004,20.27,55.346855000000005
2019-12-16,44356.21875,100.35231800000001,15.945085999999998,20.96344,52.32,14.729104000000001,360.920013,33.335056,40.232440999999994,7.17,1395.211304,235.08999599999999,69.82482900000001,19.299999,23.700001,113.900002,53.601882999999994,190.54083300000002,88.980003,37.81255,114.050003,16.014692,148.110001,41.692844,204.610001,44.59,20.08,53.953731999999995
2019-12-17,44401.160156,99.211388,15.815289000000002,20.933535,51.549999,14.571152,349.359985,33.295628,41.200396999999995,7.13,1393.74646,229.88999900000002,70.549995,19.98,23.200001,116.599998,53.601882999999994,190.570129,87.959999,37.421623,115.0,16.034269000000002,143.059998,41.342396,199.610001,43.939999,20.48,55.914055000000005
2019-12-18,45106.289063,101.395721,15.925117000000002,21.023251000000002,52.599998,15.094370000000001,356.769989,33.699749,40.951221000000004,7.35,1390.029419,232.13999900000002,70.57,20.15,23.879998999999998,116.519997,55.85282900000001,192.37643400000002,86.800003,37.372757,117.800003,15.985323000000001,145.169998,41.021159999999995,199.630005,43.77,20.780001000000002,56.61061899999999
2019-12-19,44649.429688,101.327461,16.034945,21.083059,52.700001,15.005522000000001,354.920013,34.015159999999995,42.618790000000004,7.31,1396.407227,231.24000499999997,71.949997,20.16,23.969998999999998,111.099998,55.246052,193.411407,87.599998,37.929832,116.690002,15.769967999999999,143.649994,40.719395,198.309998,44.290001000000004,20.74,55.237396
2019-12-20,44505.640625,100.693611,16.444305,21.083059,51.720001,15.025267000000001,353.940002,34.350285,41.353737,7.23,1396.4372560000002,224.899994,72.589996,19.09,23.940001000000002,108.730003,54.746929,195.481354,89.889999,37.646408,117.040001,15.730812,143.610001,40.407887,198.08999599999999,43.849998,20.549999,56.690228000000005
2019-12-23,44276.851563,99.143127,15.905149,21.023251000000002,51.84,15.054882000000001,352.77999900000003,33.640614,40.893715,7.25,1385.196289,225.350006,72.139999,19.290001,23.879998999999998,110.360001,53.141906999999996,193.118469,87.540001,38.359852000000004,115.360001,15.642712,142.110001,40.651245,196.470001,44.529999,20.23,55.078182
2019-12-24,44157.96875,99.026115,15.845242,20.863756,50.939999,15.005522000000001,353.160004,33.325199,40.7883,7.23,1386.202759,226.99000499999997,71.440002,19.4,23.790001,110.199997,52.261105,191.88826,87.32,37.949379,114.879997,15.662289999999999,143.779999,40.758327,197.46000700000002,44.380001,20.52,55.088135
2019-12-26,44300.171875,98.792076,15.965054,20.833851,50.599998,15.133859,357.940002,33.256207,40.797882,7.33,1388.7539060000001,227.649994,71.029999,19.74,23.690001000000002,109.629997,53.053825,190.784927,86.839996,38.135067,115.260002,16.024481,144.139999,40.690186,198.110001,44.540001000000004,20.209999,55.048328000000005
2019-12-27,44261.511719,99.406418,15.795319000000001,20.993345,50.41,15.212835,356.149994,34.379856,40.366611,7.23,1380.124023,226.86000099999998,70.43,19.43,24.0,108.91999799999999,52.632996,193.82148700000002,87.730003,37.890736,115.08000200000001,16.122367999999998,143.520004,39.677795,197.050003,44.810001,19.870001000000002,55.366756
2019-12-30,43657.480469,100.079269,15.975039,20.784010000000002,49.970001,15.005522000000001,354.059998,34.379856,40.20369,7.16,1385.5251460000002,225.86999500000002,69.800003,19.040001,23.049999,105.0,50.783306,190.61895800000002,86.959999,37.626862,114.879997,16.053846,141.139999,39.629124,193.509995,44.23,20.030001000000002,53.913929
2019-12-31,43541.019531,100.079269,15.975039,20.784010000000002,49.970001,15.005522000000001,354.059998,34.379856,40.20369,7.16,1385.5251460000002,225.86999500000002,69.800003,19.040001,23.049999,105.0,50.783306,190.61895800000002,86.959999,37.626862,114.879997,16.053846,141.139999,39.629124,193.509995,44.23,20.030001000000002,53.913929
2020-01-02,44437.230469,99.39666700000001,16.134789,20.903629000000002,51.48,15.133859,360.480011,34.852973999999996,41.056641,7.16,1382.665039,227.63000499999998,73.889999,20.040001,24.620001000000002,109.660004,52.818946999999994,191.683228,87.760002,37.226158,115.510002,16.073425,142.259995,40.300808,196.820007,45.130001,20.02,54.849312
2020-01-03,44624.851563,100.28405,16.334478,21.053156,51.889998999999996,15.272067999999999,362.25,34.862831,40.194107,7.19,1378.958008,228.83999599999999,74.32,19.84,24.559998999999998,109.959999,52.946171,193.518814,89.220001,37.206612,116.449997,16.112579,141.58999599999999,40.914078,200.33999599999999,45.23,20.190001000000002,54.421420999999995
2020-01-06,44495.300781,99.90862299999999,16.509203,21.098013,51.895,15.094370000000001,355.63501,35.015609999999995,40.002434,7.2,1388.31543,226.82499700000002,74.684998,19.955,24.74,110.08000200000001,51.698368,191.126678,89.379997,37.44117,115.769997,16.127266,140.199997,40.875145,198.125,44.465,19.795,55.003551
2020-01-07,44157.808594,100.849632,16.104836,20.774042,51.869999,14.887057,359.559998,34.547416999999996,40.289944,7.07,1395.6698,228.49000499999997,73.349998,19.610001,24.219998999999998,106.879997,51.810913,189.007935,88.190002,38.662819,115.339996,15.789545,138.929993,39.37603,199.059998,43.59,20.059998999999998,54.709998999999996
2020-01-08,44470.910156,100.518089,16.414351999999997,20.784010000000002,51.599998,14.798207999999999,363.179993,34.517849,40.404949,7.2,1392.819824,234.72000099999997,73.910004,19.6,24.110001,108.779999,53.200626,193.145782,87.459999,40.402454,114.809998,15.75039,141.0,38.957446999999995,204.419998,44.07,20.25,55.436413
2020-01-09,44572.171875,99.932999,16.374414,20.908615,51.555,14.852504999999999,365.959991,35.316238,40.347446000000005,7.1,1385.166382,237.92500299999998,73.93,19.995001000000002,24.33,112.870003,53.141906999999996,196.033707,86.974998,39.713440000000006,114.264999,15.701447,140.645004,38.918507,202.384995,43.689999,20.395,55.2971
2020-01-10,44660.328125,100.04026,15.995007999999999,21.152838,50.68,14.906801999999999,372.27999900000003,35.178242,40.222858,7.18,1383.302856,238.63999900000002,74.879997,20.82,24.34,109.949997,54.247806999999995,197.949142,86.160004,39.063522,113.760002,15.760179999999998,142.130005,44.223808,202.869995,43.740002000000004,20.58,55.894154
2020-01-13,44847.46875,99.474678,16.074883,21.172775,49.540001000000004,14.857441,376.549988,35.27681,40.20369,7.15,1382.0273439999999,239.61999500000002,75.639999,20.959999,24.75,109.989998,55.706028,199.452026,86.43,38.457581,114.07,16.102791,144.889999,47.679553999999996,202.279999,43.869999,20.700001,56.351898
2020-01-14,44773.238281,100.245049,15.805304000000001,20.923567000000002,49.880001,14.719233,376.799988,35.06982,41.094978000000005,7.12,1392.919434,241.02999900000003,75.989998,20.709999,24.83,108.980003,55.627734999999994,198.941238,88.83000200000001,39.630367,114.260002,16.132158,145.029999,47.650352000000005,203.25,45.200001,20.82,56.401649
2020-01-15,44453.328125,100.761871,15.186271,20.883694000000002,50.369999,14.660001000000001,393.25,34.478424,40.213271999999996,6.95,1389.859985,250.75,72.239998,20.99,24.07,107.870003,53.797619,199.00018300000002,88.290001,38.789867,113.620003,15.83849,147.25,46.151241,199.300003,44.860001000000004,21.0,56.192684
2020-01-16,45303.078125,101.571251,15.575663,21.352204999999998,49.830002,15.114115,384.040009,34.793834999999994,40.759544,7.29,1394.892578,249.059998,76.690002,21.34,24.799999,111.040001,55.510296,200.57183799999999,87.0,39.864925,114.879997,15.936379,150.83999599999999,46.891059999999996,202.33999599999999,46.439999,20.91,57.068358999999994
2020-01-17,45817.761719,103.121727,15.815289000000002,21.5117,49.419998,15.301682999999999,384.299988,35.178242,41.20998,7.82,1394.942383,247.789993,75.82,21.24,24.860001,112.730003,57.448067,203.852646,87.709999,40.314491,115.980003,16.063635,150.850006,46.764515,205.110001,46.52,21.34,57.834579000000005
2020-01-20,45902.679688,102.965698,15.825273000000001,21.5117,49.369999,15.311556,389.350006,35.523224,41.142895,7.7,1394.7032470000001,238.559998,74.989998,21.07,25.059998999999998,113.41999799999999,56.78256999999999,201.31835900000002,87.510002,40.109257,116.709999,16.141947000000002,149.690002,47.290176,205.0,46.849998,21.469998999999998,57.934090000000005
2020-01-21,45637.320313,103.443527,15.625585000000001,21.820717000000002,48.27,15.390532,383.27999900000003,35.306377000000005,41.238731,7.71,1392.04248,245.57000699999998,74.599998,21.18,24.74,113.209999,55.99963,202.801605,87.730003,40.549053,116.269997,16.161524,147.990005,46.579556,206.729996,45.25,21.24,57.874382
